2021-12-03 00:20:57 [pool-2-thread-21] INFO  by.epam.task5.entitty.Terminal - Truck #30 is being loaded
2021-12-03 00:20:58 [pool-2-thread-21] INFO  by.epam.task5.entitty.Base - pool-2-thread-21 released 4
2021-12-03 00:20:58 [main] INFO  by.epam.task5.main.Main - Truck #30 was served by terminal #4. Truck isPerishable - false
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 10 is created Truck[truckId=10, loadSize=8, capacity=10, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 11 is created Truck[truckId=11, loadSize=10, capacity=10, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 12 is created Truck[truckId=12, loadSize=9, capacity=10, isPerishable=true]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 13 is created Truck[truckId=13, loadSize=12, capacity=15, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 14 is created Truck[truckId=14, loadSize=14, capacity=15, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 15 is created Truck[truckId=15, loadSize=15, capacity=15, isPerishable=true]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 16 is created Truck[truckId=16, loadSize=7, capacity=15, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 17 is created Truck[truckId=17, loadSize=20, capacity=20, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 18 is created Truck[truckId=18, loadSize=18, capacity=20, isPerishable=true]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 19 is created Truck[truckId=19, loadSize=20, capacity=20, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 20 is created Truck[truckId=20, loadSize=19, capacity=20, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 21 is created Truck[truckId=21, loadSize=20, capacity=20, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 22 is created Truck[truckId=22, loadSize=18, capacity=20, isPerishable=true]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 23 is created Truck[truckId=23, loadSize=10, capacity=20, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 24 is created Truck[truckId=24, loadSize=25, capacity=30, isPerishable=true]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 25 is created Truck[truckId=25, loadSize=28, capacity=30, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 26 is created Truck[truckId=26, loadSize=30, capacity=30, isPerishable=false]
2021-12-03 00:25:41 [main] INFO  epam.task5.parser.impl.DataParserImpl - Truck 27 is created Truck[truckId=27, loadSize=38, capacity=40, isPerishable=true]
